DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 56
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x0000000071000000, 0x00000000711c0000, 0x00000000710a2e70, 0000000000000000, 0x0000000071000000, 0x0019203b, 0x620aa6ec,  C:\ProjectA\DynamoRIO-Windows-9.0.1\lib64\release\dynamorio.dll
module[  6]: 0x00000000000011ea,   5
module[  6]: 0x00000000000088a0,  14
module[  6]: 0x000000000000aef4,   6
module[  9]: 0x0000000000057890,  15
module[  6]: 0x00000000000088ae,   5
module[  6]: 0x00000000000084c9,   5
module[  6]: 0x000000000000155a,   5
module[  6]: 0x00000000000088f0,   9
module[  6]: 0x0000000000001348,   5
module[  6]: 0x00000000000097b0,   6
module[  6]: 0x00000000000088f9,   7
module[  6]: 0x000000000000af2a,   6
module[  9]: 0x000000000010df70,  18
module[  9]: 0x000000000010dfa0,  23
module[  9]: 0x000000000010dff1,   7
module[  9]: 0x000000000010e033,  12
module[  9]: 0x0000000000055850,  14
module[  9]: 0x000000000001906c,  16
module[ 36]: 0x0000000000034f50,  13
module[  9]: 0x000000000001907c,  13
module[  9]: 0x0000000000058ea0,  13
module[  9]: 0x0000000000058060,  42
module[  9]: 0x0000000000058710,  46
module[  9]: 0x0000000000057cb0,  19
module[  9]: 0x0000000000057d60,  30
module[  9]: 0x0000000000057cc3,   5
module[  9]: 0x000000000005873e,   8
module[  9]: 0x0000000000055560,  54
module[  9]: 0x0000000000055620,  25
module[  9]: 0x0000000000055596,   5
module[  9]: 0x0000000000058746,  10
module[  9]: 0x0000000000057e10,   8
module[  9]: 0x0000000000058750,   7
module[  9]: 0x000000000005875e,   8
module[  9]: 0x0000000000058766,  10
module[  9]: 0x000000000005889c,   5
module[  9]: 0x000000000005808a,   5
module[  9]: 0x0000000000058ead,  13
module[  9]: 0x0000000000058eba,  25
module[ 36]: 0x0000000000049900,  27
module[ 51]: 0x0000000000052500,  32
module[ 51]: 0x0000000000052520,   5
module[ 51]: 0x0000000000052525,  21
module[ 51]: 0x000000000005253a,  27
module[ 51]: 0x0000000000052555,   9
module[ 36]: 0x000000000004991b,   9
module[ 36]: 0x0000000000049924,  18
module[  9]: 0x0000000000058ed3,   2
module[  9]: 0x0000000000058edf,   5
module[  9]: 0x0000000000019089,  11
module[ 51]: 0x0000000000050770,  46
module[ 51]: 0x000000000005079e,   5
module[ 51]: 0x00000000000507b6,  11
module[ 51]: 0x00000000000507c1,   9
module[ 51]: 0x00000000000507a3,  13
module[ 51]: 0x000000000008c230,   9
module[ 51]: 0x000000000008c239,  11
module[ 51]: 0x000000000008c244,   1
module[ 51]: 0x00000000000507b0,   5
module[  9]: 0x0000000000019094,  14
module[  9]: 0x000000000005585e,  14
module[  9]: 0x000000000010e03f,  13
module[  6]: 0x0000000000008900,   5
module[  6]: 0x00000000000084ce,   5
module[  6]: 0x0000000000001005,   5
module[  6]: 0x00000000000088c0,   9
module[  6]: 0x00000000000012e4,   5
module[  6]: 0x00000000000097a0,   3
module[  6]: 0x00000000000088c9,   9
module[  6]: 0x000000000000af4e,   6
module[  9]: 0x000000000008ddd0,   8
module[  6]: 0x00000000000088d2,  11
module[  6]: 0x00000000000084d3,  10
module[  6]: 0x0000000000001177,   5
module[  6]: 0x0000000000009220,  21
module[  6]: 0x000000000000923c,  10
module[  6]: 0x0000000000009246,  10
module[  6]: 0x000000000000925a,   5
module[  6]: 0x000000000000925f,   4
module[  6]: 0x0000000000009263,  10
module[  6]: 0x000000000000929d, 135
module[  6]: 0x00000000000084dd,   7
module[  6]: 0x00000000000084ee,   5
module[  6]: 0x0000000000001389,   5
module[  6]: 0x0000000000009da0,  29
module[  6]: 0x0000000000009dbd,  11
module[  6]: 0x0000000000009dce,   9
module[  6]: 0x0000000000009dc0,   8
module[  6]: 0x0000000000009dc8,   6
module[  6]: 0x0000000000001131,   5
module[  6]: 0x000000000000e480,   2
module[  6]: 0x0000000000001569,   5
module[  6]: 0x000000000000b590,  13
module[  6]: 0x000000000000b59d,  33
module[  6]: 0x0000000000001037,   5
module[  6]: 0x000000000000b580,   8
module[  6]: 0x000000000000b5be,  12
module[  6]: 0x0000000000001190,   5
module[  6]: 0x000000000000c040,  26
module[  6]: 0x0000000000009dc0,   8
module[  6]: 0x0000000000009dce,   9
module[  6]: 0x0000000000009dd7,  11
module[  6]: 0x00000000000084f3,  12
module[  6]: 0x0000000000001267,   5
module[  6]: 0x00000000000095b0,  19
module[  6]: 0x00000000000010eb,   5
module[  6]: 0x00000000000094b0,  29
module[  6]: 0x00000000000094cd,  10
module[  6]: 0x000000000000af72,   6
module[  9]: 0x0000000000074aa0,  26
module[  9]: 0x0000000000074b90,  34
module[  9]: 0x0000000000056a10,  48
module[  9]: 0x0000000000074bb2,  10
module[  9]: 0x0000000000073d20,   9
module[  9]: 0x0000000000073fa0,   9
module[  9]: 0x0000000000073fa9,   6
module[  9]: 0x0000000000073fb9,  18
module[  9]: 0x0000000000073d29,   7
module[  9]: 0x0000000000073d3a,  17
module[  9]: 0x0000000000074bbc,  15
